Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary
Nick Fortes,34,NA,0.342617928981781,0.3,NA,NA
Alex Kirilloff,231,NA,0.255544900894165,0.3,NA,NA
Juan Minaya,NA,40,0.229231178760529,0.2,NA,NA
Drew Anderson,NA,22,0.14616784453392,0.1,NA,NA
Nick Vincent,NA,12.2,0.138361722230911,0.1,NA,NA
Nick Gordon,216,NA,0.121526978909969,0.1,NA,NA
Jovani Moran,NA,8,0.0844897255301476,0.1,NA,NA
Andy Young,104,NA,0.0816679820418358,0.1,NA,NA
Sean Guenther,NA,20.1,0.0728490054607391,0.1,NA,NA
Jose Devers,46,NA,0.071316197514534,0.1,NA,NA
Devin Smeltzer,NA,4.2,0.0425500795245171,0,NA,NA
Payton Henry,16,NA,0.0393786430358887,0,NA,NA
Andrew Bellatti,NA,3.1,0.0361180081963539,0,NA,NA
Lewis Thorpe,NA,15.1,0.0171214230358601,0,NA,NA
Rob Refsnyder,157,NA,-0.0010471394052729,0,NA,NA
Nick Snyder,NA,3.2,-0.0274839624762535,0,NA,NA
Lewin Diaz,128,NA,-0.0445816852152348,0,NA,NA
AJ Alexy,NA,23,-0.0538238249719143,-0.1,NA,NA
Jorge Guzman,NA,1.2,-0.0590927414596081,-0.1,NA,NA
Preston Guilmet,NA,2,-0.0853368416428566,-0.1,NA,NA
Brent Rooker,213,NA,-0.157881453633308,-0.2,NA,NA
Paul Campbell,NA,26.2,-0.123248815536499,-0.2,NA,NA
Luis Garcia N,247,NA,-0.198434293270111,-0.2,NA,NA
Yairo Munoz,11,NA,-0.200471103191376,-0.2,NA,NA
Anthony Bemboom,28,NA,-0.156731054186821,-0.2,NA,NA
Edward Cabrera,NA,26.1,-0.386707127094269,-0.4,NA,NA
Griffin Jax,NA,82,-0.710873007774353,-0.7,NA,NA
